index,token,order,concept_token,token_classifier,idphrase,concept,id_trial,cuid,umlstokens,concept_phrase_type,lang_token,weightuser
,Autism Spectrum Disorder,0,DISEASE,jnlpba,Deep Brain Stimulation for the Treatment of Refractory Repetitive Self-Injurious Behaviour in Children With Autism Spectrum Disorder: A Pilot Project,pregnancy,NCT03982888,C1510586,Autism Spectrum Disorders,FDA,en,0
,Brain,0,ORGAN,bionlp,Deep Brain Stimulation for the Treatment of Refractory Repetitive Self-Injurious Behaviour in Children With Autism Spectrum Disorder: A Pilot Project,pregnancy,NCT03982888,C0006104,Brain,FDA,en,0
,Children,0,ORGANISM,bionlp,Deep Brain Stimulation for the Treatment of Refractory Repetitive Self-Injurious Behaviour in Children With Autism Spectrum Disorder: A Pilot Project,pregnancy,NCT03982888,C0008059,Child,FDA,en,0
,Squamous Cell,0,CL,craft,"A Phase 3 Randomized, Open-Label Clinical Study to Evaluate the Efficacy and Safety of Pembrolizumab Plus Epacadostat, Pembrolizumab Monotherapy, and the EXTREME Regimen as First Line Treatment for Recurrent or Metastatic Head and Neck Squamous Cell Carcinoma (KEYNOTE-669/ECHO-304)",indications,NCT03358472,C0221910,Squamous Epithelial Cells,FDA,en,0
,Head and Neck Squamous Cell Carcinoma,0,DISEASE,jnlpba,"A Phase 3 Randomized, Open-Label Clinical Study to Evaluate the Efficacy and Safety of Pembrolizumab Plus Epacadostat, Pembrolizumab Monotherapy, and the EXTREME Regimen as First Line Treatment for Recurrent or Metastatic Head and Neck Squamous Cell Carcinoma (KEYNOTE-669/ECHO-304)",indications,NCT03358472,C1168401,Squamous cell carcinoma of the head and neck,FDA,en,0
,KEYNOTE-669/ECHO-304,0,CHEMICAL,jnlpba,"A Phase 3 Randomized, Open-Label Clinical Study to Evaluate the Efficacy and Safety of Pembrolizumab Plus Epacadostat, Pembrolizumab Monotherapy, and the EXTREME Regimen as First Line Treatment for Recurrent or Metastatic Head and Neck Squamous Cell Carcinoma (KEYNOTE-669/ECHO-304)",indications,NCT03358472,,,FDA,en,0
,Line,0,CELL,bionlp,"A Phase 3 Randomized, Open-Label Clinical Study to Evaluate the Efficacy and Safety of Pembrolizumab Plus Epacadostat, Pembrolizumab Monotherapy, and the EXTREME Regimen as First Line Treatment for Recurrent or Metastatic Head and Neck Squamous Cell Carcinoma (KEYNOTE-669/ECHO-304)",indications,NCT03358472,,,FDA,en,0
,Metastatic Head and Neck Squamous Cell Carcinoma,0,CANCER,bionlp,"A Phase 3 Randomized, Open-Label Clinical Study to Evaluate the Efficacy and Safety of Pembrolizumab Plus Epacadostat, Pembrolizumab Monotherapy, and the EXTREME Regimen as First Line Treatment for Recurrent or Metastatic Head and Neck Squamous Cell Carcinoma (KEYNOTE-669/ECHO-304)",indications,NCT03358472,C0744620,Metastatic Head and Neck Squamous Cell Carcinoma,FDA,en,0
,≥,0,GGP,craft,VOLUMES Treatment of Larger Tumor Volumes or ≥ 2 Lung Tumors Simultaneously in Lung Cancer Patients Using SBRT in a Mean-lung Dose Escalation Study,warnings,NCT01543672,,,FDA,en,0
,Tumor,0,DISEASE,jnlpba,VOLUMES Treatment of Larger Tumor Volumes or ≥ 2 Lung Tumors Simultaneously in Lung Cancer Patients Using SBRT in a Mean-lung Dose Escalation Study,warnings,NCT01543672,C0027651,Neoplasms,FDA,en,0
,Tumors,0,DISEASE,jnlpba,VOLUMES Treatment of Larger Tumor Volumes or ≥ 2 Lung Tumors Simultaneously in Lung Cancer Patients Using SBRT in a Mean-lung Dose Escalation Study,warnings,NCT01543672,C0027651,Neoplasms,FDA,en,0
,Lung Cancer,0,DISEASE,jnlpba,VOLUMES Treatment of Larger Tumor Volumes or ≥ 2 Lung Tumors Simultaneously in Lung Cancer Patients Using SBRT in a Mean-lung Dose Escalation Study,warnings,NCT01543672,C0242379,Malignant neoplasm of lung,FDA,en,0
,Tumor,0,CANCER,bionlp,VOLUMES Treatment of Larger Tumor Volumes or ≥ 2 Lung Tumors Simultaneously in Lung Cancer Patients Using SBRT in a Mean-lung Dose Escalation Study,warnings,NCT01543672,C0027651,Neoplasms,FDA,en,0
,Lung Tumors,0,CANCER,bionlp,VOLUMES Treatment of Larger Tumor Volumes or ≥ 2 Lung Tumors Simultaneously in Lung Cancer Patients Using SBRT in a Mean-lung Dose Escalation Study,warnings,NCT01543672,C0024121,Lung Neoplasms,FDA,en,0
,Lung Cancer Patients,0,CANCER,bionlp,VOLUMES Treatment of Larger Tumor Volumes or ≥ 2 Lung Tumors Simultaneously in Lung Cancer Patients Using SBRT in a Mean-lung Dose Escalation Study,warnings,NCT01543672,C0242379,Malignant neoplasm of lung,FDA,en,0
,SBRT,0,CANCER,bionlp,VOLUMES Treatment of Larger Tumor Volumes or ≥ 2 Lung Tumors Simultaneously in Lung Cancer Patients Using SBRT in a Mean-lung Dose Escalation Study,warnings,NCT01543672,C3896609,Stereotactic Body Radiation Therapy,FDA,en,0
,Oxygen,0,CHEBI,craft,"FreeDom : Innovative Strategy for the Management of COPD Exacerbations Combining Early Hospitalisation Discharge, Automated Oxygen Weaning at Home, Telemedicine and Tele-rehabilitation",adverse_reactions,NCT03396172,C0030054,oxygen,FDA,en,0
,COPD Exacerbations,0,DISEASE,jnlpba,"FreeDom : Innovative Strategy for the Management of COPD Exacerbations Combining Early Hospitalisation Discharge, Automated Oxygen Weaning at Home, Telemedicine and Tele-rehabilitation",adverse_reactions,NCT03396172,C0024117,Chronic Obstructive Airway Disease,FDA,en,0
,Oxygen,0,CHEMICAL,jnlpba,"FreeDom : Innovative Strategy for the Management of COPD Exacerbations Combining Early Hospitalisation Discharge, Automated Oxygen Weaning at Home, Telemedicine and Tele-rehabilitation",adverse_reactions,NCT03396172,C0030054,oxygen,FDA,en,0
,COPD,0,PATHOLOGICAL_FORMATION,bionlp,"FreeDom : Innovative Strategy for the Management of COPD Exacerbations Combining Early Hospitalisation Discharge, Automated Oxygen Weaning at Home, Telemedicine and Tele-rehabilitation",adverse_reactions,NCT03396172,C0024117,Chronic Obstructive Airway Disease,FDA,en,0
,Oxygen,0,SIMPLE_CHEMICAL,bionlp,"FreeDom : Innovative Strategy for the Management of COPD Exacerbations Combining Early Hospitalisation Discharge, Automated Oxygen Weaning at Home, Telemedicine and Tele-rehabilitation",adverse_reactions,NCT03396172,C0030054,oxygen,FDA,en,0
,Propofol,0,GGP,craft,Comparison of Propofol Based Anesthesia and Postoperative Sedation (PA) Versus Volatile Anesthetics Based Anesthesia and Postoperative Sedation (VA) in Cardiac Surgical Patients,geriatric_use,NCT01151254,C0033487,propofol,FDA,en,0
,Anesthetics,0,CHEBI,craft,Comparison of Propofol Based Anesthesia and Postoperative Sedation (PA) Versus Volatile Anesthetics Based Anesthesia and Postoperative Sedation (VA) in Cardiac Surgical Patients,geriatric_use,NCT01151254,C0002930,Anesthesiology,FDA,en,0
,Propofol,0,CHEMICAL,jnlpba,Comparison of Propofol Based Anesthesia and Postoperative Sedation (PA) Versus Volatile Anesthetics Based Anesthesia and Postoperative Sedation (VA) in Cardiac Surgical Patients,geriatric_use,NCT01151254,C0033487,propofol,FDA,en,0
,Propofol,0,SIMPLE_CHEMICAL,bionlp,Comparison of Propofol Based Anesthesia and Postoperative Sedation (PA) Versus Volatile Anesthetics Based Anesthesia and Postoperative Sedation (VA) in Cardiac Surgical Patients,geriatric_use,NCT01151254,C0033487,propofol,FDA,en,0
,PA,0,GENE_OR_GENE_PRODUCT,bionlp,Comparison of Propofol Based Anesthesia and Postoperative Sedation (PA) Versus Volatile Anesthetics Based Anesthesia and Postoperative Sedation (VA) in Cardiac Surgical Patients,geriatric_use,NCT01151254,C0030853,Pennsylvania,FDA,en,0
,Cardiac,0,ORGAN,bionlp,Comparison of Propofol Based Anesthesia and Postoperative Sedation (PA) Versus Volatile Anesthetics Based Anesthesia and Postoperative Sedation (VA) in Cardiac Surgical Patients,geriatric_use,NCT01151254,C0018787,Heart,FDA,en,0
,Patients,0,ORGANISM,bionlp,Comparison of Propofol Based Anesthesia and Postoperative Sedation (PA) Versus Volatile Anesthetics Based Anesthesia and Postoperative Sedation (VA) in Cardiac Surgical Patients,geriatric_use,NCT01151254,C0030705,Patients,FDA,en,0
,Overweight,0,DISEASE,jnlpba,"Efficacy, Safety, and Pharmacokinetics of Tirzepatide Once Weekly Versus Placebo in Adolescent Participants Who Have Obesity, or Are Overweight With Weight-Related Comorbidities:",pediatric_use,NCT06075667,C0497406,Overweight,FDA,en,0
,Heart Defects,0,DISEASE,jnlpba,Optimizing Health Among Children With Congenital Heart Defects Through Rehabilitation Focused on Physical Activity Determinants,mechanism_of_action,NCT00974688,C0018798,Congenital Heart Defects,FDA,en,0
,Children,0,ORGANISM,bionlp,Optimizing Health Among Children With Congenital Heart Defects Through Rehabilitation Focused on Physical Activity Determinants,mechanism_of_action,NCT00974688,C0008059,Child,FDA,en,0
,Heart,0,ORGAN,bionlp,Optimizing Health Among Children With Congenital Heart Defects Through Rehabilitation Focused on Physical Activity Determinants,mechanism_of_action,NCT00974688,,,FDA,en,0
,AML,0,GGP,craft,Detection of Minimal Residual Disease in Children Receiving Therapy for AML or MDS,indications,NCT00003790,C0023467,"Leukemia, Myelocytic, Acute",FDA,en,0
,AML,0,DISEASE,jnlpba,Detection of Minimal Residual Disease in Children Receiving Therapy for AML or MDS,indications,NCT00003790,C0023467,"Leukemia, Myelocytic, Acute",FDA,en,0
,Children,0,ORGANISM,bionlp,Detection of Minimal Residual Disease in Children Receiving Therapy for AML or MDS,indications,NCT00003790,C0008059,Child,FDA,en,0
,AML,0,CANCER,bionlp,Detection of Minimal Residual Disease in Children Receiving Therapy for AML or MDS,indications,NCT00003790,C0023467,"Leukemia, Myelocytic, Acute",FDA,en,0
,Hodgkin Lymphoma,0,DISEASE,jnlpba,A Randomized Phase 3 Interim Response Adapted Trial Comparing Standard Therapy With Immuno-oncology Therapy for Children and Adults With Newly Diagnosed Stage I and II Classic Hodgkin Lymphoma,indications,NCT05675410,C0019829,Hodgkin Disease,FDA,en,0
,Children,0,CANCER,bionlp,A Randomized Phase 3 Interim Response Adapted Trial Comparing Standard Therapy With Immuno-oncology Therapy for Children and Adults With Newly Diagnosed Stage I and II Classic Hodgkin Lymphoma,indications,NCT05675410,C0008059,Child,FDA,en,0
,Diabetes,0,DISEASE,jnlpba,Effectiveness and Safety of Sotagliflozin in Slowing Kidney Function Decline in Persons With Type 1 Diabetes and Moderate to Severe Diabetic Kidney Disease,indications,NCT06217302,C0011847,Diabetes,FDA,en,0
,Diabetic Kidney Disease,0,DISEASE,jnlpba,Effectiveness and Safety of Sotagliflozin in Slowing Kidney Function Decline in Persons With Type 1 Diabetes and Moderate to Severe Diabetic Kidney Disease,indications,NCT06217302,C0011881,Diabetic Nephropathy,FDA,en,0
,Kidney,0,ORGAN,bionlp,Effectiveness and Safety of Sotagliflozin in Slowing Kidney Function Decline in Persons With Type 1 Diabetes and Moderate to Severe Diabetic Kidney Disease,indications,NCT06217302,C0022646,Kidney,FDA,en,0
,Type 1,0,GENE_OR_GENE_PRODUCT,bionlp,Effectiveness and Safety of Sotagliflozin in Slowing Kidney Function Decline in Persons With Type 1 Diabetes and Moderate to Severe Diabetic Kidney Disease,indications,NCT06217302,C0441729,Type 1,FDA,en,0
,Kidney Disease,0,CANCER,bionlp,Effectiveness and Safety of Sotagliflozin in Slowing Kidney Function Decline in Persons With Type 1 Diabetes and Moderate to Severe Diabetic Kidney Disease,indications,NCT06217302,C0022658,Kidney Diseases,FDA,en,0
,Autism Spectrum Disorders,0,DISEASE,jnlpba,Using the Prevent-Teach-Reinforce Model to Reduce Problem Behaviors in Children With Autism Spectrum Disorders,indications,NCT02153203,C1510586,Autism Spectrum Disorders,FDA,en,0
,Children,0,ORGANISM,bionlp,Using the Prevent-Teach-Reinforce Model to Reduce Problem Behaviors in Children With Autism Spectrum Disorders,indications,NCT02153203,C0008059,Child,FDA,en,0
,Migraine,0,DISEASE,jnlpba,"A Phase 3, Multicenter, 12-Week, Double Blind, Placebo-Controlled Study to Evaluate the Safety and Efficacy of Atogepant for the Preventive Treatment of Episodic Migraine in Pediatric Subjects 6-17 Years of Age.",pediatric_use,NCT05711394,C0149931,Migraine Disorders,FDA,en,0
,Sorafenib,0,GGP,craft,NANT N2013-02 A Phase I Study of Sorafenib and Cyclophosphamide/Topotecan in Patients With Relapsed and Refractory Neuroblastoma,pediatric_use,NCT02298348,C1516119,sorafenib,FDA,en,0
,Refractory,0,TAXON,craft,NANT N2013-02 A Phase I Study of Sorafenib and Cyclophosphamide/Topotecan in Patients With Relapsed and Refractory Neuroblastoma,pediatric_use,NCT02298348,C0205269,Unresponsive to Treatment,FDA,en,0
,NANT,0,CHEMICAL,jnlpba,NANT N2013-02 A Phase I Study of Sorafenib and Cyclophosphamide/Topotecan in Patients With Relapsed and Refractory Neuroblastoma,pediatric_use,NCT02298348,,,FDA,en,0
,Sorafenib,0,CHEMICAL,jnlpba,NANT N2013-02 A Phase I Study of Sorafenib and Cyclophosphamide/Topotecan in Patients With Relapsed and Refractory Neuroblastoma,pediatric_use,NCT02298348,C1516119,sorafenib,FDA,en,0
,Relapsed,0,DISEASE,jnlpba,NANT N2013-02 A Phase I Study of Sorafenib and Cyclophosphamide/Topotecan in Patients With Relapsed and Refractory Neuroblastoma,pediatric_use,NCT02298348,C0205336,Relapsing course,FDA,en,0
,Neuroblastoma,0,DISEASE,jnlpba,NANT N2013-02 A Phase I Study of Sorafenib and Cyclophosphamide/Topotecan in Patients With Relapsed and Refractory Neuroblastoma,pediatric_use,NCT02298348,C0027819,Neuroblastoma,FDA,en,0
,NANT N2013-02 A Phase I,0,GENE_OR_GENE_PRODUCT,bionlp,NANT N2013-02 A Phase I Study of Sorafenib and Cyclophosphamide/Topotecan in Patients With Relapsed and Refractory Neuroblastoma,pediatric_use,NCT02298348,,,FDA,en,0
,Sorafenib,0,SIMPLE_CHEMICAL,bionlp,NANT N2013-02 A Phase I Study of Sorafenib and Cyclophosphamide/Topotecan in Patients With Relapsed and Refractory Neuroblastoma,pediatric_use,NCT02298348,C1516119,sorafenib,FDA,en,0
,Patients,0,ORGANISM,bionlp,NANT N2013-02 A Phase I Study of Sorafenib and Cyclophosphamide/Topotecan in Patients With Relapsed and Refractory Neuroblastoma,pediatric_use,NCT02298348,C0030705,Patients,FDA,en,0
,Relapsed,0,CANCER,bionlp,NANT N2013-02 A Phase I Study of Sorafenib and Cyclophosphamide/Topotecan in Patients With Relapsed and Refractory Neuroblastoma,pediatric_use,NCT02298348,C0205336,Relapsing course,FDA,en,0
,Neuroblastoma,0,CANCER,bionlp,NANT N2013-02 A Phase I Study of Sorafenib and Cyclophosphamide/Topotecan in Patients With Relapsed and Refractory Neuroblastoma,pediatric_use,NCT02298348,C0027819,Neuroblastoma,FDA,en,0
,Vaccine,0,TAXON,craft,"A Phase I/II, First-in-human, Observer-blinded, Randomized, Placebo-controlled, Parallel Group Study to Evaluate the Safety and Immunogenicity of TAP-COVID-19 SARS-CoV-2 Vaccine With CpG Adjuvant in Healthy Adults Aged 18-49 and 50-85",pediatric_use,NCT04473690,C0042210,Vaccines,FDA,en,0
,TAP-COVID-19 SARS-CoV-2 Vaccine,0,DISEASE,jnlpba,"A Phase I/II, First-in-human, Observer-blinded, Randomized, Placebo-controlled, Parallel Group Study to Evaluate the Safety and Immunogenicity of TAP-COVID-19 SARS-CoV-2 Vaccine With CpG Adjuvant in Healthy Adults Aged 18-49 and 50-85",pediatric_use,NCT04473690,C5387588,COVID-19 Vaccines,FDA,en,0
,First-in-human,0,SIMPLE_CHEMICAL,bionlp,"A Phase I/II, First-in-human, Observer-blinded, Randomized, Placebo-controlled, Parallel Group Study to Evaluate the Safety and Immunogenicity of TAP-COVID-19 SARS-CoV-2 Vaccine With CpG Adjuvant in Healthy Adults Aged 18-49 and 50-85",pediatric_use,NCT04473690,C4684677,First-in-Human Study,FDA,en,0
,Hearts,0,ORGANISM,bionlp,Healing Hearts Together: Evaluating a Couples-based Intervention to Improve Health Outcomes,indications,NCT03938116,C0018787,Heart,FDA,en,0
,Germ Cell,0,CL,craft,"Treatment of Recurrent or Resistant Pediatric Malignant Germ Cell Tumors With Paclitaxel, Ifosfamide and Carboplatin",pediatric_use,NCT00467051,C0017471,Germ Cells,FDA,en,0
,Ifosfamide,0,CHEBI,craft,"Treatment of Recurrent or Resistant Pediatric Malignant Germ Cell Tumors With Paclitaxel, Ifosfamide and Carboplatin",pediatric_use,NCT00467051,C0020823,ifosfamide,FDA,en,0
,Carboplatin,0,GGP,craft,"Treatment of Recurrent or Resistant Pediatric Malignant Germ Cell Tumors With Paclitaxel, Ifosfamide and Carboplatin",pediatric_use,NCT00467051,C0079083,carboplatin,FDA,en,0
,Tumors,0,DISEASE,jnlpba,"Treatment of Recurrent or Resistant Pediatric Malignant Germ Cell Tumors With Paclitaxel, Ifosfamide and Carboplatin",pediatric_use,NCT00467051,C0027651,Neoplasms,FDA,en,0
,Paclitaxel,0,CHEMICAL,jnlpba,"Treatment of Recurrent or Resistant Pediatric Malignant Germ Cell Tumors With Paclitaxel, Ifosfamide and Carboplatin",pediatric_use,NCT00467051,C0144576,paclitaxel,FDA,en,0
,Ifosfamide,0,CHEMICAL,jnlpba,"Treatment of Recurrent or Resistant Pediatric Malignant Germ Cell Tumors With Paclitaxel, Ifosfamide and Carboplatin",pediatric_use,NCT00467051,C0020823,ifosfamide,FDA,en,0
,Carboplatin,0,CHEMICAL,jnlpba,"Treatment of Recurrent or Resistant Pediatric Malignant Germ Cell Tumors With Paclitaxel, Ifosfamide and Carboplatin",pediatric_use,NCT00467051,C0079083,carboplatin,FDA,en,0
,Malignant Germ Cell Tumors,0,CANCER,bionlp,"Treatment of Recurrent or Resistant Pediatric Malignant Germ Cell Tumors With Paclitaxel, Ifosfamide and Carboplatin",pediatric_use,NCT00467051,C4048549,Malignant germ cell neoplasm,FDA,en,0
,Paclitaxel,0,SIMPLE_CHEMICAL,bionlp,"Treatment of Recurrent or Resistant Pediatric Malignant Germ Cell Tumors With Paclitaxel, Ifosfamide and Carboplatin",pediatric_use,NCT00467051,C0144576,paclitaxel,FDA,en,0
,Ifosfamide,0,SIMPLE_CHEMICAL,bionlp,"Treatment of Recurrent or Resistant Pediatric Malignant Germ Cell Tumors With Paclitaxel, Ifosfamide and Carboplatin",pediatric_use,NCT00467051,C0020823,ifosfamide,FDA,en,0
,Carboplatin,0,SIMPLE_CHEMICAL,bionlp,"Treatment of Recurrent or Resistant Pediatric Malignant Germ Cell Tumors With Paclitaxel, Ifosfamide and Carboplatin",pediatric_use,NCT00467051,C0079083,carboplatin,FDA,en,0
,Epcoritamab,0,CHEMICAL,jnlpba,"A Phase 3, Randomized, Open-Label Study to Evaluate Safety and Efficacy of Epcoritamab in Combination With R-CHOP Compared to R-CHOP in Subjects With Newly Diagnosed Diffuse Large B-Cell Lymphoma (DLBCL)",pediatric_use,NCT05578976,C5418281,Epcoritamab,FDA,en,0
,R-CHOP,0,CHEMICAL,jnlpba,"A Phase 3, Randomized, Open-Label Study to Evaluate Safety and Efficacy of Epcoritamab in Combination With R-CHOP Compared to R-CHOP in Subjects With Newly Diagnosed Diffuse Large B-Cell Lymphoma (DLBCL)",pediatric_use,NCT05578976,C0393023,R-CHOP Regimen,FDA,en,0
,B-Cell Lymphoma,0,DISEASE,jnlpba,"A Phase 3, Randomized, Open-Label Study to Evaluate Safety and Efficacy of Epcoritamab in Combination With R-CHOP Compared to R-CHOP in Subjects With Newly Diagnosed Diffuse Large B-Cell Lymphoma (DLBCL)",pediatric_use,NCT05578976,C0079731,B-Cell Lymphomas,FDA,en,0
,DLBCL,0,DISEASE,jnlpba,"A Phase 3, Randomized, Open-Label Study to Evaluate Safety and Efficacy of Epcoritamab in Combination With R-CHOP Compared to R-CHOP in Subjects With Newly Diagnosed Diffuse Large B-Cell Lymphoma (DLBCL)",pediatric_use,NCT05578976,C0079744,Diffuse Large B-Cell Lymphoma,FDA,en,0
,Epcoritamab,0,ORGANISM_SUBSTANCE,bionlp,"A Phase 3, Randomized, Open-Label Study to Evaluate Safety and Efficacy of Epcoritamab in Combination With R-CHOP Compared to R-CHOP in Subjects With Newly Diagnosed Diffuse Large B-Cell Lymphoma (DLBCL)",pediatric_use,NCT05578976,C5418281,Epcoritamab,FDA,en,0
,R-CHOP,0,SIMPLE_CHEMICAL,bionlp,"A Phase 3, Randomized, Open-Label Study to Evaluate Safety and Efficacy of Epcoritamab in Combination With R-CHOP Compared to R-CHOP in Subjects With Newly Diagnosed Diffuse Large B-Cell Lymphoma (DLBCL)",pediatric_use,NCT05578976,C0393023,R-CHOP Regimen,FDA,en,0
,Diffuse Large B-Cell Lymphoma,0,CANCER,bionlp,"A Phase 3, Randomized, Open-Label Study to Evaluate Safety and Efficacy of Epcoritamab in Combination With R-CHOP Compared to R-CHOP in Subjects With Newly Diagnosed Diffuse Large B-Cell Lymphoma (DLBCL)",pediatric_use,NCT05578976,C0079744,Diffuse Large B-Cell Lymphoma,FDA,en,0
,DLBCL,0,CANCER,bionlp,"A Phase 3, Randomized, Open-Label Study to Evaluate Safety and Efficacy of Epcoritamab in Combination With R-CHOP Compared to R-CHOP in Subjects With Newly Diagnosed Diffuse Large B-Cell Lymphoma (DLBCL)",pediatric_use,NCT05578976,C0079744,Diffuse Large B-Cell Lymphoma,FDA,en,0
,Pulmonary Arterial Hypertension,0,DISEASE,jnlpba,"A Phase 3, Randomized, Double-blind, Placebo-controlled Study to Evaluate Sotatercept When Added to Background Pulmonary Arterial Hypertension (PAH) Therapy in Newly Diagnosed Intermediate- and High-risk PAH Patients",warnings,NCT04811092,C2973725,Pulmonary arterial hypertension,FDA,en,0
,PAH,0,CHEMICAL,jnlpba,"A Phase 3, Randomized, Double-blind, Placebo-controlled Study to Evaluate Sotatercept When Added to Background Pulmonary Arterial Hypertension (PAH) Therapy in Newly Diagnosed Intermediate- and High-risk PAH Patients",warnings,NCT04811092,C0030123,4-aminohippuric acid,FDA,en,0
,Relapsed,0,CANCER,bionlp,"A Phase 2, Open-Label Study of BGB-A317 in Patients With Relapsed or Refractory Mature T- and NK-cell Neoplasms",pediatric_use,NCT03493451,C0205336,Relapsing course,FDA,en,0
,Sotatercept,0,GENE_OR_GENE_PRODUCT,bionlp,"A Phase 3, Randomized, Double-blind, Placebo-controlled Study to Evaluate Sotatercept When Added to Background Pulmonary Arterial Hypertension (PAH) Therapy in Newly Diagnosed Intermediate- and High-risk PAH Patients",warnings,NCT04811092,C2699571,Sotatercept,FDA,en,0
,Pulmonary Arterial,0,MULTI_TISSUE_STRUCTURE,bionlp,"A Phase 3, Randomized, Double-blind, Placebo-controlled Study to Evaluate Sotatercept When Added to Background Pulmonary Arterial Hypertension (PAH) Therapy in Newly Diagnosed Intermediate- and High-risk PAH Patients",warnings,NCT04811092,C0034052,Pulmonary artery structure,FDA,en,0
,Patients,0,ORGANISM,bionlp,"A Phase 3, Randomized, Double-blind, Placebo-controlled Study to Evaluate Sotatercept When Added to Background Pulmonary Arterial Hypertension (PAH) Therapy in Newly Diagnosed Intermediate- and High-risk PAH Patients",warnings,NCT04811092,C0030705,Patients,FDA,en,0
,Glycemic,0,CHEBI,craft,Determination of the Postprandial Glycemic Response and Glycemic Index of Nutritional Products: A Randomized Controlled Clinical Trial in Healthy Individuals,warnings,NCT06215534,C1136206,Glycemic Index,FDA,en,0
,Individuals,0,TAXON,craft,Determination of the Postprandial Glycemic Response and Glycemic Index of Nutritional Products: A Randomized Controlled Clinical Trial in Healthy Individuals,warnings,NCT06215534,C0027361,Persons,FDA,en,0
,Nutritional Products: A,0,PROTEIN,jnlpba,Determination of the Postprandial Glycemic Response and Glycemic Index of Nutritional Products: A Randomized Controlled Clinical Trial in Healthy Individuals,warnings,NCT06215534,C4036031,Nutritional products,FDA,en,0
,Postprandial,0,IMMATERIAL_ANATOMICAL_ENTITY,bionlp,Determination of the Postprandial Glycemic Response and Glycemic Index of Nutritional Products: A Randomized Controlled Clinical Trial in Healthy Individuals,warnings,NCT06215534,C0376674,Postprandial Period,FDA,en,0
,Emission Tomography,0,DNA,jnlpba,"The Impact of Positron Emission Tomography (PET) Imaging Prior to Liver Resection for Colorectal Adenocarcinoma Metastases: A Prospective, Multicentre Randomized Clinical Trial",warnings,NCT00265356,C0032743,Positron-Emission Tomography,FDA,en,0
,Positron,0,CHEMICAL,jnlpba,"The Impact of Positron Emission Tomography (PET) Imaging Prior to Liver Resection for Colorectal Adenocarcinoma Metastases: A Prospective, Multicentre Randomized Clinical Trial",warnings,NCT00265356,C0032744,Positrons,FDA,en,0
,Colorectal Adenocarcinoma,0,DISEASE,jnlpba,"The Impact of Positron Emission Tomography (PET) Imaging Prior to Liver Resection for Colorectal Adenocarcinoma Metastases: A Prospective, Multicentre Randomized Clinical Trial",warnings,NCT00265356,C1319315,Adenocarcinoma of large intestine,FDA,en,0
,Liver,0,ORGAN,bionlp,"The Impact of Positron Emission Tomography (PET) Imaging Prior to Liver Resection for Colorectal Adenocarcinoma Metastases: A Prospective, Multicentre Randomized Clinical Trial",warnings,NCT00265356,C0023884,Liver,FDA,en,0
,Colorectal Adenocarcinoma,0,CANCER,bionlp,"The Impact of Positron Emission Tomography (PET) Imaging Prior to Liver Resection for Colorectal Adenocarcinoma Metastases: A Prospective, Multicentre Randomized Clinical Trial",warnings,NCT00265356,C1319315,Adenocarcinoma of large intestine,FDA,en,0
,CD34+,0,GGP,craft,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled, Comparative Trial of AMD3100 Plus G-CSF Versus G-CSF Plus Placebo to Mobilize and Collect ≥ 6*10^6 CD34+ Cells/kg in Multiple Myeloma Patients for Autologous Transplantation",adverse_reactions,NCT00103662,,,FDA,en,0
,G-CSF,0,PROTEIN,jnlpba,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled, Comparative Trial of AMD3100 Plus G-CSF Versus G-CSF Plus Placebo to Mobilize and Collect ≥ 6*10^6 CD34+ Cells/kg in Multiple Myeloma Patients for Autologous Transplantation",adverse_reactions,NCT00103662,C0079459,Granulocyte Colony-Stimulating Factor,FDA,en,0
,≥ 6*10^6,0,PROTEIN,jnlpba,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled, Comparative Trial of AMD3100 Plus G-CSF Versus G-CSF Plus Placebo to Mobilize and Collect ≥ 6*10^6 CD34+ Cells/kg in Multiple Myeloma Patients for Autologous Transplantation",adverse_reactions,NCT00103662,,,FDA,en,0
,Cells/kg,0,DNA,jnlpba,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled, Comparative Trial of AMD3100 Plus G-CSF Versus G-CSF Plus Placebo to Mobilize and Collect ≥ 6*10^6 CD34+ Cells/kg in Multiple Myeloma Patients for Autologous Transplantation",adverse_reactions,NCT00103662,C3899697,Cells per Kilogram,FDA,en,0
,AMD3100,0,CHEMICAL,jnlpba,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled, Comparative Trial of AMD3100 Plus G-CSF Versus G-CSF Plus Placebo to Mobilize and Collect ≥ 6*10^6 CD34+ Cells/kg in Multiple Myeloma Patients for Autologous Transplantation",adverse_reactions,NCT00103662,C0662900,AMD 3100,FDA,en,0
,G-CSF,0,CHEMICAL,jnlpba,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled, Comparative Trial of AMD3100 Plus G-CSF Versus G-CSF Plus Placebo to Mobilize and Collect ≥ 6*10^6 CD34+ Cells/kg in Multiple Myeloma Patients for Autologous Transplantation",adverse_reactions,NCT00103662,C0079459,Granulocyte Colony-Stimulating Factor,FDA,en,0
