id_trial,idphrase
NCT00026403,"A Phase II Study of Gemcitabine, Cisplatin and Radiation Therapy in Patients With Locally Advanced Pancreatic Cancer"
NCT02189148,First-trimester Prediction of Preeclampsia and Other Placenta-mediated Pregnancy Complications
NCT04865107,Cellular Immuno-Therapy for COVID-19 ARDS Randomized Clinical Trial
NCT02486666,A Pilot Feasibility And Safety Multicenter Trial Of Administering Weight Adjusted Fixed Dose Of Low Molecular Weight Heparin (Enoxaparin) To Neonates and Children With Thrombosis (FiXET)
NCT04421664,Preemptive Therapy for SARS-Coronavirus-2 (COVID-19 PEP Canada)
NCT04948333,"A Phase 3b, Multi-center, Open-label, Treatment Optimization Study of Oral Asciminib in Patients With Chronic Myelogenous Leukemia in Chronic Phase (CML-CP) Previously Treated With 2 or More Tyrosine Kinase Inhibitors."
NCT04066907,Integrated Disease Management of Heart Failure in Primary Care; A Cluster Randomized Trial
NCT01855750,"A Randomized, Double-blind, Placebo-controlled Phase 3 Study of the Bruton's Tyrosine Kinase (BTK) Inhibitor, PCI-32765 (Ibrutinib), in Combination With Rituximab, Cyclophosphamide, Doxorubicin, Vincristine, and Prednisone (R-CHOP) in Subjects With Newly Diagnosed Non-Germinal Center B-Cell Subtype of Diffuse Large B-Cell Lymphoma"
NCT01860755,"Physiotherapy Treatment (Including Vestibular Rehabilitation) Compared to Rest in Individuals With Persistent Symptoms of Dizziness, Neck Pain and/or Headache Following Sport-related Concussion."
NCT01120301,"NeuroThera® Efficacy and Safety Trial - 3 (NEST-3) A Double-blind, Randomized, Sham-controlled, Parallel Group, Multicenter, Pivotal Study to Assess the Safety and Efficacy of Transcranial Laser Therapy With the NeuroThera® Laser System for the Treatment of Acute Ischemic Stroke Within 24 Hours of Stroke Onset"
NCT00099320,Safety and Efficacy of Exenatide in Patients With Type 2 Diabetes Using Thiazolidinediones or Thiazolidinediones and Metformin
NCT02199119,"Effect of Television Viewing During Exercise on Subjective Appetite, Satiation, and Food Intake in 9 to 14 Year Old Children"
NCT00299884,The Comparison of the Efficacy of Ezetimibe and Fenofibrate Versus Atorvastatin Alone in the Lowering of LDL Cholesterol
NCT05464420,"A Phase 3 Randomized, Double-blind, Active Comparator-controlled, Lot-to-Lot Consistency Study to Evaluate the Safety, Tolerability, and Immunogenicity of V116 in Adults 18 to 49 Years of Age"
NCT06060977,"A Phase 1b/2a Study to Evaluate the Safety, Pharmacokinetics and Efficacy of IMG-007 in Adult Alopecia Areata Participants With 50% or Greater Scalp Hair Loss"
NCT02294331,Attain Performa™ Left Ventricular Quadripolar Lead Post-Approval Study
NCT00407329,Urokinase Plasminogen Activator System in Benign Prostatic Hyperplasia: A Possible Marker of Progression and Response to Medical Therapy
NCT04112927,Acoustic OSA Prediction During Wakefulness and Monitoring During Sleep
NCT02915848,Long-term Stability of Local Field Potentials Recorded From the Subthalamic Nucleus and the Effects of Deep Brain Stimulation
NCT03478631,"The Role of Dietary Nitrate on Blood Pressure and Cardiovascular Disease Risk Factors: a Randomized, Controlled Trial in Individuals With Elevated Blood Pressure"
NCT01641198,"Prospective Randomized Clinical Trial Comparing Quantitative Osseous Healing of Acid Etched and Machined Titanium Implant Fixtures After 12 and 24 Months, and at 15-20 Years of Function With Full Arch Fixed Mandibular Prostheses."
NCT05259878,Examining the Relationship Between Adverse Childhood Events and Chronic Pain in the Canadian Forces
NCT02083705,Chest Compression and Sustained Inflation for Asystole or Bradycardia in Newborn Infants
NCT02104947,A Phase III Case Series Clinical Study of the Reversal of the Anticoagulant Effects of Dabigatran by Intravenous Administration of 5.0g Idarucizumab (BI 655075) in Patients Treated Wtih Dabigatran Etexilate Who Have Uncontrolled Bleeding or Require Emergency Surgery or Procedures
NCT03649048,Randomized Trial Comparing Low-Dose Weekly to High-Dose Cisplatin Concurrent With Radiation for Locally Advanced Head and Neck Cancer.
NCT00476190,ALL Adult Consortium Trial: Adult ALL Trial
NCT03110367,Reframe the Pain: A Parent-Led Intervention to Alter Children's Memories for Pain
NCT05342168,Comparison of Histological Results Obtained From a Mesh Sponge (CytospongeTM) and Traditional Esophageal Mucosal Biopsies in Children and Adolescents With Eosinophilic Esophagitis
NCT04945460,"A Phase 2, Double-blind, Randomized, Placebo-controlled Study to Evaluate the Effects of Sotatercept Versus Placebo for the Treatment of Combined Postcapillary and Precapillary Pulmonary Hypertension (Cpc-PH) Due to Heart Failure With Preserved Ejection Fraction (HFpEF)"
NCT01500512,GROningen INternational Study on Sentinel Nodes in Vulvar Cancer (GROINSS-V) II: An Observational Study
NCT03817749,The Effects of Exogenous Ketone Supplementation on Cardiovascular Function and Glucose Control
NCT02671435,A Phase 1/2 Study of Durvalumab and Monalizumab in Adult Subjects With Select Advanced Solid Tumors
NCT00638690,"A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study of Abiraterone Acetate (CB7630) Plus Prednisone in Patients With Metastatic Castration-Resistant Prostate Cancer Who Have Failed Docetaxel-Based Chemotherapy"
NCT05089604,Tacrolimus Associated Tremors in Liver Transplant Recipients: a Randomized Open Label Trial Comparing De Novo Extended-release Once Daily (LCP-TAC) and Twice Daily Immediate-release (IR-TAC) Tacrolimus Formulations
NCT01202721,Beta Blockers and Angiotensin Receptor Blockers in Bicuspid Aortic Valve Disease Aortopathy (BAV Study)
NCT05714891,Neoadjuvant Platform Trial in Patients With Surgically Resectable Non-Small Cell Lung Cancer (NSCLC)
NCT01968590,A Phase II Trial on the Effect of Low-Dose Versus High-Dose Vitamin D Supplementation on Bone Mass in Adults With Neurofibromatosis Type 1 (NF1)
NCT01766557,Assessment of Cod Protein as an Insulin-sensitizing Agent in Women With Polycystic Ovary Syndrome.
NCT01742286,"A Phase I, Open-label, Dose Escalation Study of LDK378 in Pediatric Patients With Malignancies That Have a Genetic Alteration in Anaplastic Lymphoma Kinase (ALK)"
NCT01748877,"A Double-Blind, Randomized, Placebo-Controlled, Parallel Group Study to Evaluate the Efficacy, Tolerability, and Safety of NXN-462 in Patients With Post-Herpetic Neuralgia (PHN)"
NCT05064358,"A Phase 2, Randomized, Parallel, Open-label Study to Investigate the Safety, Efficacy, and Pharmacokinetics of Various Dosing Regimens of Single-agent Belantamab Mafodotin (GSK2857916) in Participants With Relapsed or Refractory Multiple Myeloma (DREAMM-14)"
NCT02981355,Randomized Evaluation of BST-CarGel Versus Microfracture Alone On Recovery From Distal Femoral Cartilage Lesions
NCT04646356,Tacrolimus Trial for Hereditary Hemorrhagic Telangiectasia (HHT)
NCT01924455,HBV-HIV Coinfection Research Network
NCT00420212,"A Randomized, Multicenter, Double-Blind, Placebo-Controlled, Dose-Comparison Study to Determine the Efficacy and Safety of BG00012 in Subjects With Relapsing-Remitting Multiple Sclerosis"
NCT01225562,"A Randomized, Double-Blind, Placebo Controlled, Parallel Group, Multinational Trial, to Assess the Prevention of Thrombotic Events With Ticagrelor Compared to Placebo on a Background of Acetyl Salicylic Acid (ASA) Therapy in Patients With History of Myocardial Infarction"
NCT02172365,Retrospective Analysis of Treatment Outcomes of Allogeneic Stem Cell Transplantation for Chronic Myeloid Leukemia After TKI Failure
NCT02581813,Effects of a Weight Management Intervention With Increased Dairy Intake on Body Composition and Bone Health in Overweight and Obese Girls.
NCT03877237,"International, Multicentre, Parallel-group, Randomised, Double-blind, Placebo-controlled, Phase III Study Evaluating the Effect of Dapagliflozin on Exercise Capacity in Heart Failure Patients With Reduced Ejection Fraction"
NCT06340360,"A Phase 2b, Randomized, Double-Blind, Parallel Group, Placebo-Controlled 60-Week Study to Evaluate the Efficacy and Safety of Rezpegaldesleukin in the Treatment of Severe to Very Severe Alopecia Areata in Adult Patients (Rezolve AA)"
NCT00073008,A Phase 2 Multicenter Trial Comparing Two Schedules of GW572016 as First or Second Line Monotherapy in Subjects With Advanced or Metastatic Non-Small Cell Lung Cancer With Either Bronchioloalveolar Carcinoma or No Smoking History
NCT02798406,"A Phase II, Multi-center, Open-label Study of a Conditionally Replicative Adenovirus (DNX-2401) With Pembrolizumab (KEYTRUDA®) for Recurrent Glioblastoma or Gliosarcoma (CAPTIVE/KEYNOTE-192)"
NCT00152971,"A Phase III, Randomized, Parallel-group, Double-blind, Active Controlled Study to Investigate the Efficacy and Safety of Two Different Dose Regimens (75mg Day 1 Followed by 150 mg Day 2-completion, and 110 mg Day 1 Followed by 220 mg Day 2-completion) of Dabigatran Etexilate Administered Orally (Capsules), Compared to Enoxaparin 30 mg Twice a Day Subcutaneous for 12 - 15 Days in Prevention of Venous Thromboembolism in Patients With Primary Elective Total Knee Replacement Surgery"
NCT04644094,"""Surveillance of Postnatal Steroids Effects on Cardiac Function in Extremely Preterm Infants With Evolving BPD: the SPEC Study."""
NCT00869687,A Single Group Study for the Characterization of Human Tissue Response to Injectable Poly-L-Lactic Acid (Sculptra) in Healthy Volunteers
NCT03536754,"A Randomized, Double-Blind, Placebo-Controlled Dose-Ranging Study to Evaluate the Safety and Efficacy of CCX140-B in Subjects With Focal Segmental Glomerulosclerosis (FSGS)"
NCT04433585,"A Randomized, Double-Blind, Placebo-Controlled, Phase 2 Study of LY3471851 (NKTR-358) in Adults With Systemic Lupus Erythematosus"
NCT03230318,A Pivotal Study of Derazantinib in Patients With Inoperable or Advanced Intrahepatic Cholangiocarcinoma and FGFR2 Gene Fusions or FGFR2 Gene Mutations or Amplifications
NCT00908024,A Phase I/II Trial of BMS-754807 in Combination With Cetuximab (Erbitux®) in Subjects With Advanced or Metastatic Solid Tumors
NCT03481075,Patient Specific Biomechanical Modeling of Abdominal Aortic Aneurysm to Improve Aortic Endovascular Repair
NCT00886769,"A Randomized, Double-blind, Placebo Controlled, Single-dose Study to Assess the Initial Efficacy of Canakinumab (ACZ885) With Respect to the Adapted ACR Pediatric 30 Criteria in Patients With Systemic Juvenile Idiopathic Arthritis (SJIA) and Active Systemic Manifestations"
NCT05980949,"A Phase 3 Global, Multicenter, Open-Label Extension Study to Assess the Long-Term Safety and Tolerability of KarXT in Subjects With Psychosis Associated With Alzheimer's Disease"
NCT04975399,"A Phase 1, Multi-center, Open-label, Dose Finding Study of CC-92328 in Subjects With Relapsed and/or Refractory Multiple Myeloma"
NCT00238888,Randomised Controlled Trial of a Multi-faceted Community-based Intervention to Improve Pediatric Morbidity: a PRIISME Project (Program to Integrate Information Service and Manage Education)
NCT05211778,Post-Operative Patient-Centred Care Education Administration in Head and Neck Cancer Patients - A Digital Platform
NCT05724199,"A Phase 3, Randomized, 24-week, Placebo-controlled, Double-blind Study to Assess the Efficacy, Safety, and Tolerability of Rocatinlimab (AMG 451) in Combination With Topical Corticosteroids and/or Topical Calcineurin Inhibitors in Adult Subjects With Moderate-to-severe Atopic Dermatitis (AD) (ROCKET-SHUTTLE)"
NCT05506358,Evaluation of Low-cost Techniques for Detecting Sickle Cell Disease and β-thalassemia in Nepal and Canada
NCT01663623,"A Phase 3, Multi-Center, Multinational, Randomized, Double-Blind, Study to Evaluate the Efficacy and Safety of Belimumab (HGS1006) in Combination With Azathioprine for the Maintenance of Remission in Wegener's Granulomatosis and Microscopic Polyangiitis"
NCT01556490,A Phase III Clinical Trial of Intra-arterial TheraSphere® in the Treatment of Patients With Unresectable Hepatocellular Carcinoma (HCC)
NCT04927975,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Dose-Ranging Study to Evaluate the Safety and Efficacy of Upadacitinib in Subjects With Non-Segmental Vitiligo"
NCT02381886,A Phase I Study of IDH305 in Patients With Advanced Malignancies That Harbor IDH1R132 Mutations
NCT01731197,Comparison of the Satiating Effects of Differentially Processed Isolated Soy Proteins
NCT00771381,A Phase II Pre-Treatment Hypoxia PET Imaging Study Using 18F-FAZA in Patients With Invasive Duct Carcinoma of the Breast
NCT02951923,"The Effect of 8-weeks of Bovine Colostrum and Soy Protein Supplementation on Fitness, Muscle Mass, Inflammation and Immune Function During Intense Training in Rugby Players"
NCT01766141,Changes in Inflammatory Cytokine Levels in Response to Spinal Manipulative Treatment of Low Back Patients: A Single-blind Pilot Clinical Trial.
NCT03070834,Retrievable Inferior Vena Cava Filter for Primary Pulmonary Embolism Prophylaxis in At-Risk Trauma Patients: RIPT Feasibility Trial
NCT03157128,"A Phase 1/2 Study of Oral Selpercatinib (LOXO-292) in Patients With Advanced Solid Tumors, Including RET Fusion-Positive Solid Tumors, Medullary Thyroid Cancer, and Other Tumors With RET Activation (LIBRETTO-001)"
NCT04908241,Telerehabilitation With Aims to Improve Lower Extremity Recovery Post-Stroke (TRAIL-RCT): A Randomized Controlled Trial
NCT01685138,"A Phase II, Multicenter, Single-arm Study of Oral LDK378 in Crizotinib naïve Adult Patients With ALK-activated Non-small Cell Lung Cancer"
NCT03922321,"A Phase 2a, Multicenter, Open-Label Study of RVT-1401 for the Treatment of Patients With Moderate to Severe Active Graves' Ophthalmopathy"
NCT03795493,Diet Restriction and Exercise-induced Adaptations in Metastatic Breast Cancer
NCT01480310,"A Phase Ia, Single-Center, Randomized, Placebo-Controlled, Double-Blind, Single Ascending-Dose Study to Investigate the Safety, Pharmacokinetics, and Immunogenicity of Subcutaneous MCAF5352A in Healthy Volunteers"
NCT00053924,A Phase 2 Study Of Perifosine As Second Line Therapy For Advanced Pancreatic Carcinoma
NCT06487494,Is 2-Octyl Cyanoacrylate (2-OCA) With Four Interrupted Sutures Non-inferior to Continuous Suturing as a Wound Closure Technique in Adult Male Circumcision: A Randomized Controlled Pilot Study
NCT02328482,"A Pivotal, Multicenter, Open-label, Randomized Withdrawal, Non-Treatment Concurrent Control Study to Assess the Safety, Tolerability, and Efficacy of Cabaletta® in OPMD Patients Who Participated in Study BBCO-001"
NCT00317746,"A Randomized, Placebo Controlled Trial of Citalopram for the Prevention of Depression and Its Consequences in HIV-Hepatitis C Co-infected Individuals Initiating Pegylated Interferon/Ribavirin Therapy"
NCT01982786,Randomized Phase II Feasibility Trial Of Image Guided External Beam Radiotherapy With Or Without High Dose Rate Brachytherapy Boost In Men With Intermediate-Risk Prostate Cancer
NCT00667849,Trial to Evaluate UltraSound in the Treatment of Tibial Fractures
NCT04185389,Evaluation of CIN2+ Rates up to 120 Months After 48-Month Co-Testing (Long Term Follow up of HPV FOCAL Participants)
NCT01064531,A Randomized Controlled Trial to Compare Implant Migration of the MIS Stem Versus The Synergy Total Hip System by Radiostereometric Analysis
NCT02324764,Use of Glidesheath Slender to Reduce Radial Artery Occlusion and Vascular Access Site Complications Following Transradial Coronary Angiography
NCT00106366,Efficacy and Safety Comparison of Insulin Detemir and Insulin Glargine Plus Insulin Aspart in Patients With Type 2 Diabetes
NCT00486187,Effects of ROSIglitazone on Inflammatory Markers and Adipokines in Diabetic Patients Using an Angiotensin Receptor Blocker (TELmisartan) - The ROSITEL Study
NCT00601588,"A Single Dose, Two-Period, Two-Treatment, Two-Way Crossover Bioequivalency Study of Sertraline Tablets 100 mg Under Fed Conditions"
NCT00003573,A Phase I/II Feasibility Study of Oral Etoposide Given Concurrently With Radiotherapy Followed With Dose Intensive Adjuvant Chemotherapy for Children With Newly Diagnosed High Stage Medulloblastoma
NCT01986218,"Phase I Ascending Multiple-Dose Study to Evaluate the Safety, Pharmacokinetics and Pharmacodynamics of BMS-986115 in Subjects With Advanced Solid Tumors"
NCT01257737,Long Term Use of HPN-100 in Urea Cycle Disorders
NCT00991640,Impact of an Integrated Obesity Management System on Patient's Care
NCT06119464,Re-Purposing the Ordering of 'Routine' Laboratory Tests in Hospitalized Medical Patients (RePORT Study)
NCT02057692,"The Evaluation of the Intestinal Bile Acid Transport (IBAT) Inhibitor LUM001 in the Reduction of Pruritus in Alagille Syndrome, a Cholestatic Liver Disease"
NCT00858754,"A Randomized, Double-Blind, Placebo-Controlled Trial Evaluating the Safety and Efficacy of Subcutaneous Methylnaltrexone for the Treatment of Opioid-Induced Constipation in Subjects With Cancer-Related Pain"
NCT03277794,Generating Evidence for a Comprehensive Support Package to Stabilize Youth Trajectories Out of Homelessness: A Tertiary Prevention Strategy
NCT03100344,"Randomized, Double-blind, Multi-center, Parallel-group, Placebo-controlled Dose-ranging Study to Assess the Efficacy and Safety of Nemolizumab in Moderate-to-severe Atopic Dermatitis Subjects With Severe Pruritus Receiving Topical Corticosteroids (TCS)"
NCT02752932,TumorGraft- Guided Therapy for Improved Outcomes in Head and Neck Squamous Cell Cancer- A Feasibility Study
NCT02151136,Be Sweet to Toddlers During Needles: RCT of Sucrose Compared to Placebo
NCT06013241,"A Phase 2b, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study of the Efficacy and Safety of Brensocatib in Participants With Chronic Rhinosinusitis Without Nasal Polyps - The BiRCh Study"
NCT04758442,Optimal Dosing of Vancomycin in an Adult Population of Hemato-oncology: a Nomogram Based on a Bayesian Population Model to Predict Initial Dosage of Vancomycin
NCT01600014,"Ingenol Mebutate Gel, 0.015% Repeat Use for Multiple Actinic Keratoses on Face and Scalp"
NCT02909517,The Role of Inflammation in Ocular Tumours
NCT00097370,An Open Label Extension Study to Evaluate Safety and Efficacy of Mepolizumab in Patients With Hypereosinophilic Syndromes
NCT01404767,Tight Hemodynamic Control in Patients Who Are Chronically on Metoprolol: A Study Comparing the Post Op Continuation of the Preoperative Oral Dose Beta Blockers to Intravenous Esmolol Titrated to a Target Heart Rate (HR)
NCT02690090,Phase 4 Study Determining the Safety of Enoxaparin Prophylaxis in Critically Ill Adults With Severe Renal Insufficiency
NCT00872144,A Double Blind Placebo Controlled Crossover Pilot Trial of Sativex With Open Label Extension for Treatment of Chemotherapy Induced Neuropathic Pain
NCT04351555,"A Phase III, Randomised, Controlled, Multi-center, 3-Arm Study of Neoadjuvant Osimertinib as Monotherapy or in Combination With Chemotherapy Versus Standard of Care Chemotherapy Alone for the Treatment of Patients With Epidermal Growth Factor Receptor Mutation Positive, Resectable Non-small Cell Lung Cancer"
NCT04722757,"Functional Outcomes of Transanal Ileal Pouch-Anal Anastomosis Compared to Laparoscopic or Open Ileal Pouch-Anal Anastomosis: a Multi-Center, Randomized, Parallel-Group, Non-Inferiority Trial"
NCT01293032,Choosing Neoadjuvant Chemotherapy Versus Hormonal Therapy for Breast Cancer Based on Gene Expression Profile
NCT01145560,"A MultiCentre, Randomized, Double-blind, Placebo-controlled Phase IIb Study to Compare the Efficacy and Safety of Two Dosing Regimens of Intravenous Infusions of AZD9773 (CytoFab™) in Adult Patients With Severe Sepsis and/or Septic Shock"
NCT00023894,A Phase II Evaluation of Flavopiridol (NSC# 649890) in the Treatment of Recurrent or Persistent Endometrial Carcinoma
NCT03686202,Feasibility Study of Microbial Ecosystem Therapeutics (MET-4) to Evaluate Effects of Fecal Microbiome in Patients on ImmunOtherapy (MET4-IO)
NCT00420186,"A Phase I Study to Determine the Safety, Pharmacokinetics and Pharmacodynamics of BMS-690514 in Combination With Paclitaxel and Carboplatin for Patients With Advanced or Metastatic Solid Tumors"
NCT02725268,"A Phase 2, Randomized Study of MLN0128 (a Dual TORC1/2 Inhibitor), MLN0128+MLN1117 (a PI3Kα Inhibitor), Weekly Paclitaxel, or the Combination of Weekly Paclitaxel and MLN0128 in Women With Advanced, Recurrent, or Persistent Endometrial Cancer"
NCT03742505,Rapid Normalization of Vitamin D Deficiency in PICU: A Multi-Centre Phase III Double-Blind Randomized Controlled Trial
NCT03490851,"The Effect of a Breakfast Meal Containing Oat β-glucan on Food Intake at a Subsequent Meal in Normal-weight and Overweight Subjects: A Randomized, Placebo-controlled Cross-over Study"
NCT05394792,The CAN UpTIMISE Study
NCT02607800,"A Phase 3, Global, Multicenter, Randomized, Open-Label Study to Investigate the Safety and Efficacy of Sofosbuvir/Velpatasvir/GS-9857 Fixed-Dose Combination for 8 Weeks Compared to Sofosbuvir/Velpatasvir for 12 Weeks in Direct-Acting Antiviral-Naïve Subjects With Chronic HCV Infection"
NCT04952610,An Open Label Extension Study of Etripamil Nasal Spray in Patients With Paroxysmal Supraventricular Tachycardia
NCT04707209,Intravitreal Injection of Sirolimus in the Treatment of Aggressive Retinal Astrocytic Hamartoma
NCT05894772,Evaluating a Virtual Stepped Care Portal in Youth Awaiting Tertiary Chronic Pain Care: An Implementation-Effectiveness Hybrid Type III Study
NCT02434497,"An Open-Label Long-Term Extension to the Randomized, Double-blind, Placebo-controlled, Multi-center, Cross-over Study of Rosuvastatin in Children and Adolescents (Aged 6 to <18 Years) With Homozygous Familial Hypercholesterolemia (HoFH)"
NCT05930067,Continuation of Patient Follow-up to 2 Years for the Pinnacle RSA and Pinnacle DM RSA Clinical Trials
NCT01885169,"Safety of Live-attenuated Influenza Vaccine (LAIV, Flumist®) in Patients With Cystic Fibrosis (CF)"
NCT06099704,"A Prospective, Observational Study of Canadian Patients Receiving Dupixent® for Moderate to Severe Atopic Dermatitis"
NCT04304196,"Reducing Anxiety and Enhancing Quality of Life Among Caregivers of Prostate Cancer Survivors: Development and Evaluation of a Dyadic, Tailored, Web-based, Psychosocial and Physical Activity Self-management Programme"
NCT02105948,Study MEA117106: Mepolizumab vs. Placebo as add-on Treatment for Frequently Exacerbating COPD Patients
NCT06104384,Socio-demographics of Injury Insurance Claims by Chronic Pain Patients
NCT00884741,Phase III Double-blind Placebo-Controlled Trial of Conventional Concurrent Chemoradiation and Adjuvant Temozolomide Plus Bevacizumab Versus Conventional Concurrent Chemoradiation and Adjuvant Temozolomide in Patients With Newly Diagnosed Glioblastoma
NCT03237377,Neoadjuvant Immunoradiation for Stage III Resectable Non-Small Cell Lung Cancer
NCT05967884,A Randomized Phase II Window of Opportunity Clinical Trial of IL-4 +/- PD-1 Inhibition in Early-stage ER+ HER2- Breast Cancer
NCT00988429,"Efficacy and Safety of Eslicarbazepine Acetate (BIA 2-093) as Adjunctive Therapy for Refractory Partial Seizures in a Double-blind, Randomised, Placebo-controlled, Parallel-group, Multicentre Trial"
NCT05104866,"A Phase-3, Open-Label, Randomized Study of Dato-DXd Versus Investigator's Choice of Chemotherapy (ICC) in Participants With Inoperable or Metastatic HR-Positive, HER2-Negative Breast Cancer Who Have Been Treated With One or Two Prior Lines of Systemic Chemotherapy (TROPION-Breast01)"
NCT02386098,"A Phase 2b Randomized, Active-Controlled, Staged, Open-Label Trial to Investigate Safety and Efficacy of BMS-955176/GSK3532795 in Combination With Dolutegravir and Atazanavir (With or Without Ritonavir) in Treatment-Experienced HIV-1 Infected Adults"
NCT02574637,"A Phase 2b Double-Blind, Multi-Dose, Placebo-Controlled Study to Evaluate the Efficacy and Safety of MEDI2070 in Subjects With Moderate to Severe Crohn's Disease Who Have Failed or Are Intolerant to Anti-tumor Necrosis Factor-alpha Therapy"
NCT03465878,"A Study to Evaluate the Pharmacokinetics and Glucodynamics of LY900014 Compared to Humalog in Children, Adolescents, and Adults With Type 1 Diabetes Mellitus"
NCT03367377,"Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of LY3209590 Following Multiple Weekly Doses in Patients With Type 2 Diabetes Mellitus"
NCT01012609,A Phase II Trial of External Beam Radiation Therapy and Cetuximab Followed by Irinotecan and Cetuximab for Children and Young Adults With Newly Diagnosed Diffuse Pontine Tumors and High-Grade Astrocytomas (POE08-01)
NCT05626725,An Observational Study to Assess the Safety and Effectiveness of Automated Insulin Delivery (AID) Systems in Physically Active Adults With Type 1 Diabetes in Free-living Conditions (AIDE-1)
NCT02755402,Impact of an Accelerated Pre-treatment Evaluation on Linkage-to-care and Linkage-to-treatment for HCV Infected Persons Who Inject Drugs
NCT00295763,Follow-up of Thyroid Cancer Patients From Study THYR-008-00 Who Received Thyroid Remnant Ablation Using Either the Hypothyroid or the Thyrogen Method.
NCT02298348,NANT N2013-02 A Phase I Study of Sorafenib and Cyclophosphamide/Topotecan in Patients With Relapsed and Refractory Neuroblastoma
NCT05994521,Prophylactic EUS-guided Gastroenterostomy in Advanced Periampullary Cancers: A Multicenter Randomized Controlled Trial
NCT06374875,A Prospective Multicenter International Randomized Controlled Trial Comparing Surgical and Medical Therapies in the Treatment of Advanced Metabolic Dysfunction Associated Steatohepatitis
NCT00947427,Effects of Canakinumab On The Progression of Type 1 Diabetes In New Onset Subjects
NCT03114657,"A Phase III, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Efficacy and Safety Study of Crenezumab in Patients With Prodromal to Mild Alzheimer's Disease"
NCT05683119,The Effect of Menstrual Cycle and Oral Contraceptive Pill Phase on Aspects of Exercise Physiology and Athletic Performance in Female Athletes
NCT01965652,"A Randomized Double-blind, Placebo-controlled, Parallel-group, Multicenter, Phase 3 Study to Evaluate the Long-term Safety of Naldemedine for the Treatment of Opioid-induced Constipation in Subjects With Non-malignant Chronic Pain Receiving Opioid Therapy"
NCT05754567,CONCEPTT Kids International Neurodevelopmental Outcomes Among Offspring of Women With Type 1 Diabetes: A Follow up Study of the CONCEPTT Randomized Control Trial
NCT05628727,Comparison of Intermittent Fasting Interventions on Brain Health in Women: A Randomized Controlled Trial
NCT01058980,ADenosine Following Pulmonary Vein Isolation to Target Dormant Conduction Elimination: the ADVICE Trial
NCT01752114,"Early Diagnosis of Pulmonary Nodules Using A Plasma Proteomic Classifier, Protocol Number 1001-12"
NCT01465074,Effects of Acute Nicotine on Long-term Potentiation in the Dorsolateral Prefrontal Cortex of Patients With Schizophrenia and Healthy Controls
NCT03836196,"Optimizing the Management of High-risk and Unfavorable Intermediate-risk Disease: the Use of Advanced Imaging, Trans-perineal Mapping Biopsies, and Dual-strength Brachytherapy Sources to Minimize Radiation Dose to Normal Tissues"
NCT04167124,Enhancing Physical Activity Levels in Youth at Risk for Cardiovascular Disease: Evaluating a Spatio-behavioral Intervention.
NCT04520178,"Effects of the Serotonin Precursor, 5-hydroxytryptophan, in the Injured Human Spinal Cord"
NCT04238260,Enhancing Physical Therapy Best Practice for Improving Walking After Stroke
NCT03041207,Decreasing Antibiotic Use in Infants With Suspected Ventilator-associated Infection
NCT06038344,Evaluation of the Gluten Free Food Guide on Diet Quality and Adherence to the GFD in Newly Diagnosed Children and Youth With Celiac Disease in the Clinical Setting
NCT00380549,A Prospective Case Series (Pilot Study) Comparing Ion Levels and Clinical Outcomes of the CONSERVE® A-Class Type Hip System With BFH™ Technology to the CONSERVE® Plus Total Hip Resurfacing System
NCT02880124,Ingestion of Maple Products During Exercise: Effects on Energy Metabolism and Time-trial Performance
NCT04440358,Assessment of Safety and Feasibility of Exablate Blood-Brain Barrier Disruption (BBBD) With Microbubbles for the Treatment of Recurrent Glioblastoma (rGBM) in Subjects Undergoing Carboplatin Monotherapy
NCT03283085,A Phase 3 Long-term Safety Extension Study of SHP647 in Subjects With Moderate to Severe Ulcerative Colitis or Crohn's Disease (AIDA)
NCT05136079,Prophylactic LYMphatic Reconstruction (LYMbR) to Prevent Lymphedema
NCT05662436,Protocol for the Open Sky School: A Two-arm Clustered Randomized Controlled Trial to Test the Effectiveness of a Nature-based Intervention on Mental Health of Elementary School Children
NCT00330109,Identification of Clinically Occult Glioma Cells and Characterization of Glioma Behavior Through Machine Learning Analysis of Advanced Imaging Technology
NCT02928575,"A Phase II Trial of Concurrent Sunitinib, Temozolomide and Radiation Therapy Followed by Adjuvant Temozolomide for Newly Diagnosed Glioblastoma Patients With an Unmethylated MGMT Gene Promoter"
NCT01314313,Edwards SAPIEN XT Transcatheter Heart Valve Therapy for Intermediate and High Risk Patients
NCT05024578,Stimulating Brain Waves During Deep Sleep
NCT01552304,The Benefit and Risk of Oxygen Supplementation in Perioperative Management of Obstructive Sleep Apnea
NCT05770414,Evaluating an Online Parenting Intervention for Caregivers of Infants and Young Children
NCT02428335,Evaluation of Technetium-99m Sestamibi to Determine Muscle Energy Metabolism in RCC (Renal Cell Cancer) Patients Treated With Sunitinib
NCT03110913,"Study Title: Application of the Indicator Amino Acid Oxidation Technique for the Determination of Metabolic Availability of Methionine From Canadian Lentils, in Healthy Young Adult Men"
