index,token,order,concept_token,token_classifier,idphrase,concept,id_trial,cuid,umlstokens,concept_phrase_type,lang_token,weightuser
,Adjuvant,0,CHEMICAL,jnlpba,"A Randomized, Double-Blind, Placebo-Controlled, Multi-Center Phase 3 Study of Denosumab as Adjuvant Treatment for Women With Early-Stage Breast Cancer at High Risk of Recurrence (D-CARE)",warnings,NCT01077154,C0001551,Immunologic Adjuvants,FDA,en,0
,Breast Cancer,0,DISEASE,jnlpba,"A Randomized, Double-Blind, Placebo-Controlled, Multi-Center Phase 3 Study of Denosumab as Adjuvant Treatment for Women With Early-Stage Breast Cancer at High Risk of Recurrence (D-CARE)",warnings,NCT01077154,C0006142,Malignant neoplasm of breast,FDA,en,0
,D-CARE,0,CHEMICAL,jnlpba,"A Randomized, Double-Blind, Placebo-Controlled, Multi-Center Phase 3 Study of Denosumab as Adjuvant Treatment for Women With Early-Stage Breast Cancer at High Risk of Recurrence (D-CARE)",warnings,NCT01077154,,,FDA,en,0
,Denosumab,0,SIMPLE_CHEMICAL,bionlp,"A Randomized, Double-Blind, Placebo-Controlled, Multi-Center Phase 3 Study of Denosumab as Adjuvant Treatment for Women With Early-Stage Breast Cancer at High Risk of Recurrence (D-CARE)",warnings,NCT01077154,C1690432,denosumab,FDA,en,0
,Women,0,ORGANISM,bionlp,"A Randomized, Double-Blind, Placebo-Controlled, Multi-Center Phase 3 Study of Denosumab as Adjuvant Treatment for Women With Early-Stage Breast Cancer at High Risk of Recurrence (D-CARE)",warnings,NCT01077154,C0043210,Woman,FDA,en,0
,Breast Cancer,0,CANCER,bionlp,"A Randomized, Double-Blind, Placebo-Controlled, Multi-Center Phase 3 Study of Denosumab as Adjuvant Treatment for Women With Early-Stage Breast Cancer at High Risk of Recurrence (D-CARE)",warnings,NCT01077154,C0006142,Malignant neoplasm of breast,FDA,en,0
,D-CARE,0,SIMPLE_CHEMICAL,bionlp,"A Randomized, Double-Blind, Placebo-Controlled, Multi-Center Phase 3 Study of Denosumab as Adjuvant Treatment for Women With Early-Stage Breast Cancer at High Risk of Recurrence (D-CARE)",warnings,NCT01077154,,,FDA,en,0
,Breast Cancer,0,DISEASE,jnlpba,Single Pre-Operative Radiation Therapy - With Delayed or No Surgery (SPORT-DNS) for Low Risk Breast Cancer: A Phase II Study,indications,NCT05217966,C0006142,Malignant neoplasm of breast,FDA,en,0
,Breast Cancer,0,DISEASE,jnlpba,"The Feasibility, Acceptability and Preliminary Effectiveness of an Online Lifestyle Intervention for Healthy Weight Management and Improved Quality of Life in Breast Cancer Survivors",indications,NCT02861703,C0006142,Malignant neoplasm of breast,FDA,en,0
,Breast Cancer,0,CANCER,bionlp,"The Feasibility, Acceptability and Preliminary Effectiveness of an Online Lifestyle Intervention for Healthy Weight Management and Improved Quality of Life in Breast Cancer Survivors",indications,NCT02861703,C0006142,Malignant neoplasm of breast,FDA,en,0
,Perjeta,0,GGP,craft,"A Multicenter, Multinational, Phase II Study to Evaluate Perjeta in Combination With Herceptin and Standard Neoadjuvant Anthracycline-Based Chemotherapy in Patients With HER2-Positive, Locally Advanced, Inflammatory, or Early-Stage Breast Cancer",indications,NCT02132949,C3473371,Perjeta,FDA,en,0
,Herceptin,0,GGP,craft,"A Multicenter, Multinational, Phase II Study to Evaluate Perjeta in Combination With Herceptin and Standard Neoadjuvant Anthracycline-Based Chemotherapy in Patients With HER2-Positive, Locally Advanced, Inflammatory, or Early-Stage Breast Cancer",indications,NCT02132949,C0338204,Herceptin,FDA,en,0
,Herceptin,0,PROTEIN,jnlpba,"A Multicenter, Multinational, Phase II Study to Evaluate Perjeta in Combination With Herceptin and Standard Neoadjuvant Anthracycline-Based Chemotherapy in Patients With HER2-Positive, Locally Advanced, Inflammatory, or Early-Stage Breast Cancer",indications,NCT02132949,C0338204,Herceptin,FDA,en,0
,Breast Cancer,0,DISEASE,jnlpba,"A Multicenter, Multinational, Phase II Study to Evaluate Perjeta in Combination With Herceptin and Standard Neoadjuvant Anthracycline-Based Chemotherapy in Patients With HER2-Positive, Locally Advanced, Inflammatory, or Early-Stage Breast Cancer",indications,NCT02132949,C0006142,Malignant neoplasm of breast,FDA,en,0
,Perjeta,0,SIMPLE_CHEMICAL,bionlp,"A Multicenter, Multinational, Phase II Study to Evaluate Perjeta in Combination With Herceptin and Standard Neoadjuvant Anthracycline-Based Chemotherapy in Patients With HER2-Positive, Locally Advanced, Inflammatory, or Early-Stage Breast Cancer",indications,NCT02132949,C3473371,Perjeta,FDA,en,0
,Herceptin,0,SIMPLE_CHEMICAL,bionlp,"A Multicenter, Multinational, Phase II Study to Evaluate Perjeta in Combination With Herceptin and Standard Neoadjuvant Anthracycline-Based Chemotherapy in Patients With HER2-Positive, Locally Advanced, Inflammatory, or Early-Stage Breast Cancer",indications,NCT02132949,C0338204,Herceptin,FDA,en,0
,Patients,0,ORGANISM,bionlp,"A Multicenter, Multinational, Phase II Study to Evaluate Perjeta in Combination With Herceptin and Standard Neoadjuvant Anthracycline-Based Chemotherapy in Patients With HER2-Positive, Locally Advanced, Inflammatory, or Early-Stage Breast Cancer",indications,NCT02132949,C0030705,Patients,FDA,en,0
,HER2-Positive,0,CANCER,bionlp,"A Multicenter, Multinational, Phase II Study to Evaluate Perjeta in Combination With Herceptin and Standard Neoadjuvant Anthracycline-Based Chemotherapy in Patients With HER2-Positive, Locally Advanced, Inflammatory, or Early-Stage Breast Cancer",indications,NCT02132949,C1960398,HER2-positive carcinoma of breast,FDA,en,0
,Breast Cancer,0,CANCER,bionlp,"A Multicenter, Multinational, Phase II Study to Evaluate Perjeta in Combination With Herceptin and Standard Neoadjuvant Anthracycline-Based Chemotherapy in Patients With HER2-Positive, Locally Advanced, Inflammatory, or Early-Stage Breast Cancer",indications,NCT02132949,C0006142,Malignant neoplasm of breast,FDA,en,0
,Breast Cancer,0,CANCER,bionlp,Single Pre-Operative Radiation Therapy - With Delayed or No Surgery (SPORT-DNS) for Low Risk Breast Cancer: A Phase II Study,indications,NCT05217966,C0006142,Malignant neoplasm of breast,FDA,en,0
,Datopotamab Deruxtecan,0,TAXON,craft,"A Phase III, Open-label, Randomised Study of Neoadjuvant Datopotamab Deruxtecan (Dato-DXd) Plus Durvalumab Followed by Adjuvant Durvalumab With or Without Chemotherapy Versus Neoadjuvant Pembrolizumab Plus Chemotherapy Followed by Adjuvant Pembrolizumab With or Without Chemotherapy for the Treatment of Adult Patients With Previously Untreated Triple-Negative or Hormone Receptor-low/HER2-negative Breast Cancer (D926QC00001; TROPION-Breast04)",adverse_reactions,NCT06112379,C5420885,Datopotamab,FDA,en,0
,HER2,0,GGP,craft,"A Randomised, Double Blind, Placebo Controlled, Multicentre Study to Evaluate the Efficacy and Safety of Bevacizumab in Combination With Docetaxel in Comparison With Docetaxel Plus Placebo, as First Line Treatment for Patients With HER2 Negative Metastatic and Locally Recurrent Breast Cancer.",indications,NCT00333775,C0069515,erbB-2 Receptor,FDA,en,0
,HER2,0,PROTEIN,jnlpba,"A Randomised, Double Blind, Placebo Controlled, Multicentre Study to Evaluate the Efficacy and Safety of Bevacizumab in Combination With Docetaxel in Comparison With Docetaxel Plus Placebo, as First Line Treatment for Patients With HER2 Negative Metastatic and Locally Recurrent Breast Cancer.",indications,NCT00333775,C0069515,erbB-2 Receptor,FDA,en,0
,Bevacizumab,0,CHEMICAL,jnlpba,"A Randomised, Double Blind, Placebo Controlled, Multicentre Study to Evaluate the Efficacy and Safety of Bevacizumab in Combination With Docetaxel in Comparison With Docetaxel Plus Placebo, as First Line Treatment for Patients With HER2 Negative Metastatic and Locally Recurrent Breast Cancer.",indications,NCT00333775,C0796392,bevacizumab,FDA,en,0
,Docetaxel,0,CHEMICAL,jnlpba,"A Randomised, Double Blind, Placebo Controlled, Multicentre Study to Evaluate the Efficacy and Safety of Bevacizumab in Combination With Docetaxel in Comparison With Docetaxel Plus Placebo, as First Line Treatment for Patients With HER2 Negative Metastatic and Locally Recurrent Breast Cancer.",indications,NCT00333775,C0246415,docetaxel,FDA,en,0
,Breast Cancer,0,DISEASE,jnlpba,"A Randomised, Double Blind, Placebo Controlled, Multicentre Study to Evaluate the Efficacy and Safety of Bevacizumab in Combination With Docetaxel in Comparison With Docetaxel Plus Placebo, as First Line Treatment for Patients With HER2 Negative Metastatic and Locally Recurrent Breast Cancer.",indications,NCT00333775,C0006142,Malignant neoplasm of breast,FDA,en,0
,Bevacizumab,0,SIMPLE_CHEMICAL,bionlp,"A Randomised, Double Blind, Placebo Controlled, Multicentre Study to Evaluate the Efficacy and Safety of Bevacizumab in Combination With Docetaxel in Comparison With Docetaxel Plus Placebo, as First Line Treatment for Patients With HER2 Negative Metastatic and Locally Recurrent Breast Cancer.",indications,NCT00333775,C0796392,bevacizumab,FDA,en,0
,Docetaxel,0,SIMPLE_CHEMICAL,bionlp,"A Randomised, Double Blind, Placebo Controlled, Multicentre Study to Evaluate the Efficacy and Safety of Bevacizumab in Combination With Docetaxel in Comparison With Docetaxel Plus Placebo, as First Line Treatment for Patients With HER2 Negative Metastatic and Locally Recurrent Breast Cancer.",indications,NCT00333775,C0246415,docetaxel,FDA,en,0
,Line,0,CELL,bionlp,"A Randomised, Double Blind, Placebo Controlled, Multicentre Study to Evaluate the Efficacy and Safety of Bevacizumab in Combination With Docetaxel in Comparison With Docetaxel Plus Placebo, as First Line Treatment for Patients With HER2 Negative Metastatic and Locally Recurrent Breast Cancer.",indications,NCT00333775,,,FDA,en,0
,Patients,0,ORGANISM,bionlp,"A Randomised, Double Blind, Placebo Controlled, Multicentre Study to Evaluate the Efficacy and Safety of Bevacizumab in Combination With Docetaxel in Comparison With Docetaxel Plus Placebo, as First Line Treatment for Patients With HER2 Negative Metastatic and Locally Recurrent Breast Cancer.",indications,NCT00333775,C0030705,Patients,FDA,en,0
,HER2,0,GENE_OR_GENE_PRODUCT,bionlp,"A Randomised, Double Blind, Placebo Controlled, Multicentre Study to Evaluate the Efficacy and Safety of Bevacizumab in Combination With Docetaxel in Comparison With Docetaxel Plus Placebo, as First Line Treatment for Patients With HER2 Negative Metastatic and Locally Recurrent Breast Cancer.",indications,NCT00333775,C0069515,erbB-2 Receptor,FDA,en,0
,Breast Cancer,0,CANCER,bionlp,"A Randomised, Double Blind, Placebo Controlled, Multicentre Study to Evaluate the Efficacy and Safety of Bevacizumab in Combination With Docetaxel in Comparison With Docetaxel Plus Placebo, as First Line Treatment for Patients With HER2 Negative Metastatic and Locally Recurrent Breast Cancer.",indications,NCT00333775,C0006142,Malignant neoplasm of breast,FDA,en,0
,Triple-Negative,0,DISEASE,jnlpba,"A Phase III, Open-label, Randomised Study of Neoadjuvant Datopotamab Deruxtecan (Dato-DXd) Plus Durvalumab Followed by Adjuvant Durvalumab With or Without Chemotherapy Versus Neoadjuvant Pembrolizumab Plus Chemotherapy Followed by Adjuvant Pembrolizumab With or Without Chemotherapy for the Treatment of Adult Patients With Previously Untreated Triple-Negative or Hormone Receptor-low/HER2-negative Breast Cancer (D926QC00001; TROPION-Breast04)",adverse_reactions,NCT06112379,C3539878,Triple Negative Breast Neoplasms,FDA,en,0
,Breast Cancer,0,DISEASE,jnlpba,"A Phase III, Open-label, Randomised Study of Neoadjuvant Datopotamab Deruxtecan (Dato-DXd) Plus Durvalumab Followed by Adjuvant Durvalumab With or Without Chemotherapy Versus Neoadjuvant Pembrolizumab Plus Chemotherapy Followed by Adjuvant Pembrolizumab With or Without Chemotherapy for the Treatment of Adult Patients With Previously Untreated Triple-Negative or Hormone Receptor-low/HER2-negative Breast Cancer (D926QC00001; TROPION-Breast04)",adverse_reactions,NCT06112379,C0006142,Malignant neoplasm of breast,FDA,en,0
,Durvalumab,0,SIMPLE_CHEMICAL,bionlp,"A Phase III, Open-label, Randomised Study of Neoadjuvant Datopotamab Deruxtecan (Dato-DXd) Plus Durvalumab Followed by Adjuvant Durvalumab With or Without Chemotherapy Versus Neoadjuvant Pembrolizumab Plus Chemotherapy Followed by Adjuvant Pembrolizumab With or Without Chemotherapy for the Treatment of Adult Patients With Previously Untreated Triple-Negative or Hormone Receptor-low/HER2-negative Breast Cancer (D926QC00001; TROPION-Breast04)",adverse_reactions,NCT06112379,C4055109,durvalumab,FDA,en,0
,Patients,0,ORGANISM,bionlp,"A Phase III, Open-label, Randomised Study of Neoadjuvant Datopotamab Deruxtecan (Dato-DXd) Plus Durvalumab Followed by Adjuvant Durvalumab With or Without Chemotherapy Versus Neoadjuvant Pembrolizumab Plus Chemotherapy Followed by Adjuvant Pembrolizumab With or Without Chemotherapy for the Treatment of Adult Patients With Previously Untreated Triple-Negative or Hormone Receptor-low/HER2-negative Breast Cancer (D926QC00001; TROPION-Breast04)",adverse_reactions,NCT06112379,C0030705,Patients,FDA,en,0
,Breast Cancer,0,CANCER,bionlp,"A Phase III, Open-label, Randomised Study of Neoadjuvant Datopotamab Deruxtecan (Dato-DXd) Plus Durvalumab Followed by Adjuvant Durvalumab With or Without Chemotherapy Versus Neoadjuvant Pembrolizumab Plus Chemotherapy Followed by Adjuvant Pembrolizumab With or Without Chemotherapy for the Treatment of Adult Patients With Previously Untreated Triple-Negative or Hormone Receptor-low/HER2-negative Breast Cancer (D926QC00001; TROPION-Breast04)",adverse_reactions,NCT06112379,C0006142,Malignant neoplasm of breast,FDA,en,0
,Breast Cancer,1,DISEASE,jnlpba,"A Phase III Open-Label, Randomized, Parallel, Two-arm, Multi-center Study of E7389 Versus ""Treatment of Physician's Choice"" in Patients With Locally Recurrent, Metastatic Breast Cancer, Previously Treated With At Least Two and a Maximum of Five Prior Chemotherapy Regimens, Including an Anthracycline and a Taxane",indications,NCT00388726,C0006142,Malignant neoplasm of breast,FDA,en,0
,Neratinib,0,CHEBI,craft,A Phase 2 Randomized Open-Label Study of Neratinib Versus Lapatinib Plus Capecitabine For The Treatment Of ErbB-2 Positive Locally Advanced Or Metastatic Breast Cancer,adverse_reactions,NCT00777101,C2713008,neratinib,FDA,en,0
,ErbB-2,0,GGP,craft,A Phase 2 Randomized Open-Label Study of Neratinib Versus Lapatinib Plus Capecitabine For The Treatment Of ErbB-2 Positive Locally Advanced Or Metastatic Breast Cancer,adverse_reactions,NCT00777101,C0242957,ERBB2 gene,FDA,en,0
,ErbB-2,0,PROTEIN,jnlpba,A Phase 2 Randomized Open-Label Study of Neratinib Versus Lapatinib Plus Capecitabine For The Treatment Of ErbB-2 Positive Locally Advanced Or Metastatic Breast Cancer,adverse_reactions,NCT00777101,C0242957,ERBB2 gene,FDA,en,0
,Neratinib,0,CHEMICAL,jnlpba,A Phase 2 Randomized Open-Label Study of Neratinib Versus Lapatinib Plus Capecitabine For The Treatment Of ErbB-2 Positive Locally Advanced Or Metastatic Breast Cancer,adverse_reactions,NCT00777101,C2713008,neratinib,FDA,en,0
,Lapatinib,0,CHEMICAL,jnlpba,A Phase 2 Randomized Open-Label Study of Neratinib Versus Lapatinib Plus Capecitabine For The Treatment Of ErbB-2 Positive Locally Advanced Or Metastatic Breast Cancer,adverse_reactions,NCT00777101,C1506770,lapatinib,FDA,en,0
,Capecitabine,0,CHEMICAL,jnlpba,A Phase 2 Randomized Open-Label Study of Neratinib Versus Lapatinib Plus Capecitabine For The Treatment Of ErbB-2 Positive Locally Advanced Or Metastatic Breast Cancer,adverse_reactions,NCT00777101,C0671970,capecitabine,FDA,en,0
,Breast Cancer,0,DISEASE,jnlpba,A Phase 2 Randomized Open-Label Study of Neratinib Versus Lapatinib Plus Capecitabine For The Treatment Of ErbB-2 Positive Locally Advanced Or Metastatic Breast Cancer,adverse_reactions,NCT00777101,C0006142,Malignant neoplasm of breast,FDA,en,0
,Neratinib,0,SIMPLE_CHEMICAL,bionlp,A Phase 2 Randomized Open-Label Study of Neratinib Versus Lapatinib Plus Capecitabine For The Treatment Of ErbB-2 Positive Locally Advanced Or Metastatic Breast Cancer,adverse_reactions,NCT00777101,C2713008,neratinib,FDA,en,0
,Lapatinib,0,SIMPLE_CHEMICAL,bionlp,A Phase 2 Randomized Open-Label Study of Neratinib Versus Lapatinib Plus Capecitabine For The Treatment Of ErbB-2 Positive Locally Advanced Or Metastatic Breast Cancer,adverse_reactions,NCT00777101,C1506770,lapatinib,FDA,en,0
,Capecitabine,0,SIMPLE_CHEMICAL,bionlp,A Phase 2 Randomized Open-Label Study of Neratinib Versus Lapatinib Plus Capecitabine For The Treatment Of ErbB-2 Positive Locally Advanced Or Metastatic Breast Cancer,adverse_reactions,NCT00777101,C0671970,capecitabine,FDA,en,0
,ErbB-2,0,GENE_OR_GENE_PRODUCT,bionlp,A Phase 2 Randomized Open-Label Study of Neratinib Versus Lapatinib Plus Capecitabine For The Treatment Of ErbB-2 Positive Locally Advanced Or Metastatic Breast Cancer,adverse_reactions,NCT00777101,C0242957,ERBB2 gene,FDA,en,0
,Breast Cancer,0,CANCER,bionlp,A Phase 2 Randomized Open-Label Study of Neratinib Versus Lapatinib Plus Capecitabine For The Treatment Of ErbB-2 Positive Locally Advanced Or Metastatic Breast Cancer,adverse_reactions,NCT00777101,C0006142,Malignant neoplasm of breast,FDA,en,0
,Breast Cancer,0,DISEASE,jnlpba,Aerobic Exercise and Cognitive Functioning in Women With Breast Cancer: the ACTIVATE Trial,geriatric_use,NCT03277898,C0006142,Malignant neoplasm of breast,FDA,en,0
,Women,0,ORGANISM,bionlp,Aerobic Exercise and Cognitive Functioning in Women With Breast Cancer: the ACTIVATE Trial,geriatric_use,NCT03277898,C0043210,Woman,FDA,en,0
,Breast Cancer,0,CANCER,bionlp,Aerobic Exercise and Cognitive Functioning in Women With Breast Cancer: the ACTIVATE Trial,geriatric_use,NCT03277898,C0006142,Malignant neoplasm of breast,FDA,en,0
,"EMBRACE"" Trial: Eisai Metastatic Breast Cancer",0,CELL_TYPE,jnlpba,"The ""EMBRACE"" Trial: Eisai Metastatic Breast Cancer Study Assessing Physician's Choice Versus E7389.",adverse_reactions,NCT00388726,,,FDA,en,0
,Breast Cancer,0,DISEASE,jnlpba,"The ""EMBRACE"" Trial: Eisai Metastatic Breast Cancer Study Assessing Physician's Choice Versus E7389.",adverse_reactions,NCT00388726,C0006142,Malignant neoplasm of breast,FDA,en,0
,Eisai Metastatic Breast Cancer,0,ORGANISM,bionlp,"The ""EMBRACE"" Trial: Eisai Metastatic Breast Cancer Study Assessing Physician's Choice Versus E7389.",adverse_reactions,NCT00388726,,,FDA,en,0
,Physician,0,CANCER,bionlp,"The ""EMBRACE"" Trial: Eisai Metastatic Breast Cancer Study Assessing Physician's Choice Versus E7389.",adverse_reactions,NCT00388726,C0031831,Physicians,FDA,en,0
,E7389,0,SIMPLE_CHEMICAL,bionlp,"The ""EMBRACE"" Trial: Eisai Metastatic Breast Cancer Study Assessing Physician's Choice Versus E7389.",adverse_reactions,NCT00388726,C1506837,E 7389,FDA,en,0
,Anthracycline,1,CHEBI,craft,"A Phase III Open-Label, Randomized, Parallel, Two-arm, Multi-center Study of E7389 Versus ""Treatment of Physician's Choice"" in Patients With Locally Recurrent, Metastatic Breast Cancer, Previously Treated With At Least Two and a Maximum of Five Prior Chemotherapy Regimens, Including an Anthracycline and a Taxane",indications,NCT00388726,C0003234,Anthracycline Antibiotics,FDA,en,0
,E7389,1,CHEMICAL,jnlpba,"A Phase III Open-Label, Randomized, Parallel, Two-arm, Multi-center Study of E7389 Versus ""Treatment of Physician's Choice"" in Patients With Locally Recurrent, Metastatic Breast Cancer, Previously Treated With At Least Two and a Maximum of Five Prior Chemotherapy Regimens, Including an Anthracycline and a Taxane",indications,NCT00388726,C1506837,E 7389,FDA,en,0
,Anthracycline,1,CHEMICAL,jnlpba,"A Phase III Open-Label, Randomized, Parallel, Two-arm, Multi-center Study of E7389 Versus ""Treatment of Physician's Choice"" in Patients With Locally Recurrent, Metastatic Breast Cancer, Previously Treated With At Least Two and a Maximum of Five Prior Chemotherapy Regimens, Including an Anthracycline and a Taxane",indications,NCT00388726,C0003234,Anthracycline Antibiotics,FDA,en,0
,Taxane,1,CHEMICAL,jnlpba,"A Phase III Open-Label, Randomized, Parallel, Two-arm, Multi-center Study of E7389 Versus ""Treatment of Physician's Choice"" in Patients With Locally Recurrent, Metastatic Breast Cancer, Previously Treated With At Least Two and a Maximum of Five Prior Chemotherapy Regimens, Including an Anthracycline and a Taxane",indications,NCT00388726,C0215136,taxane,FDA,en,0
,E7389,1,SIMPLE_CHEMICAL,bionlp,"A Phase III Open-Label, Randomized, Parallel, Two-arm, Multi-center Study of E7389 Versus ""Treatment of Physician's Choice"" in Patients With Locally Recurrent, Metastatic Breast Cancer, Previously Treated With At Least Two and a Maximum of Five Prior Chemotherapy Regimens, Including an Anthracycline and a Taxane",indications,NCT00388726,C1506837,E 7389,FDA,en,0
,Physician,1,CANCER,bionlp,"A Phase III Open-Label, Randomized, Parallel, Two-arm, Multi-center Study of E7389 Versus ""Treatment of Physician's Choice"" in Patients With Locally Recurrent, Metastatic Breast Cancer, Previously Treated With At Least Two and a Maximum of Five Prior Chemotherapy Regimens, Including an Anthracycline and a Taxane",indications,NCT00388726,C0031831,Physicians,FDA,en,0
,Patients,1,ORGANISM,bionlp,"A Phase III Open-Label, Randomized, Parallel, Two-arm, Multi-center Study of E7389 Versus ""Treatment of Physician's Choice"" in Patients With Locally Recurrent, Metastatic Breast Cancer, Previously Treated With At Least Two and a Maximum of Five Prior Chemotherapy Regimens, Including an Anthracycline and a Taxane",indications,NCT00388726,C0030705,Patients,FDA,en,0
,Metastatic Breast Cancer,1,CANCER,bionlp,"A Phase III Open-Label, Randomized, Parallel, Two-arm, Multi-center Study of E7389 Versus ""Treatment of Physician's Choice"" in Patients With Locally Recurrent, Metastatic Breast Cancer, Previously Treated With At Least Two and a Maximum of Five Prior Chemotherapy Regimens, Including an Anthracycline and a Taxane",indications,NCT00388726,C0278488,Carcinoma breast stage IV,FDA,en,0
,Anthracycline,1,SIMPLE_CHEMICAL,bionlp,"A Phase III Open-Label, Randomized, Parallel, Two-arm, Multi-center Study of E7389 Versus ""Treatment of Physician's Choice"" in Patients With Locally Recurrent, Metastatic Breast Cancer, Previously Treated With At Least Two and a Maximum of Five Prior Chemotherapy Regimens, Including an Anthracycline and a Taxane",indications,NCT00388726,C0003234,Anthracycline Antibiotics,FDA,en,0
,Taxane,1,SIMPLE_CHEMICAL,bionlp,"A Phase III Open-Label, Randomized, Parallel, Two-arm, Multi-center Study of E7389 Versus ""Treatment of Physician's Choice"" in Patients With Locally Recurrent, Metastatic Breast Cancer, Previously Treated With At Least Two and a Maximum of Five Prior Chemotherapy Regimens, Including an Anthracycline and a Taxane",indications,NCT00388726,C0215136,taxane,FDA,en,0
,Breast Cancer,0,DISEASE,jnlpba,Randomized Trial of Hypofractionated LocoRegional Radiotherapy in Breast Cancer and Lymphedema (RHEAL),adverse_reactions,NCT04228991,C0006142,Malignant neoplasm of breast,FDA,en,0
,GDC-0941,0,GGP,craft,"A Phase II, Double-Blind, Placebo Controlled, Randomized Study of GDC-0941 or GDC-0980 With Fulvestrant Versus Fulvestrant in Advanced or Metastatic Breast Cancer in Patients Resistant to Aromatase Inhibitor Therapy",adverse_reactions,NCT01437566,C2606671,GDC 0941,FDA,en,0
,GDC-0980,0,GGP,craft,"A Phase II, Double-Blind, Placebo Controlled, Randomized Study of GDC-0941 or GDC-0980 With Fulvestrant Versus Fulvestrant in Advanced or Metastatic Breast Cancer in Patients Resistant to Aromatase Inhibitor Therapy",adverse_reactions,NCT01437566,C2984520,GDC 0980,FDA,en,0
,Inhibitor,0,CHEBI,craft,"A Phase II, Double-Blind, Placebo Controlled, Randomized Study of GDC-0941 or GDC-0980 With Fulvestrant Versus Fulvestrant in Advanced or Metastatic Breast Cancer in Patients Resistant to Aromatase Inhibitor Therapy",adverse_reactions,NCT01437566,C1999216,Inhibitor,FDA,en,0
,Aromatase,0,PROTEIN,jnlpba,"A Phase II, Double-Blind, Placebo Controlled, Randomized Study of GDC-0941 or GDC-0980 With Fulvestrant Versus Fulvestrant in Advanced or Metastatic Breast Cancer in Patients Resistant to Aromatase Inhibitor Therapy",adverse_reactions,NCT01437566,C0003805,Aromatase,FDA,en,0
,GDC-0941,0,CHEMICAL,jnlpba,"A Phase II, Double-Blind, Placebo Controlled, Randomized Study of GDC-0941 or GDC-0980 With Fulvestrant Versus Fulvestrant in Advanced or Metastatic Breast Cancer in Patients Resistant to Aromatase Inhibitor Therapy",adverse_reactions,NCT01437566,C2606671,GDC 0941,FDA,en,0
,Fulvestrant,0,CHEMICAL,jnlpba,"A Phase II, Double-Blind, Placebo Controlled, Randomized Study of GDC-0941 or GDC-0980 With Fulvestrant Versus Fulvestrant in Advanced or Metastatic Breast Cancer in Patients Resistant to Aromatase Inhibitor Therapy",adverse_reactions,NCT01437566,C0935916,fulvestrant,FDA,en,0
,Breast Cancer,0,DISEASE,jnlpba,"A Phase II, Double-Blind, Placebo Controlled, Randomized Study of GDC-0941 or GDC-0980 With Fulvestrant Versus Fulvestrant in Advanced or Metastatic Breast Cancer in Patients Resistant to Aromatase Inhibitor Therapy",adverse_reactions,NCT01437566,C0006142,Malignant neoplasm of breast,FDA,en,0
,GDC-0941,0,SIMPLE_CHEMICAL,bionlp,"A Phase II, Double-Blind, Placebo Controlled, Randomized Study of GDC-0941 or GDC-0980 With Fulvestrant Versus Fulvestrant in Advanced or Metastatic Breast Cancer in Patients Resistant to Aromatase Inhibitor Therapy",adverse_reactions,NCT01437566,C2606671,GDC 0941,FDA,en,0
,GDC-0980,0,SIMPLE_CHEMICAL,bionlp,"A Phase II, Double-Blind, Placebo Controlled, Randomized Study of GDC-0941 or GDC-0980 With Fulvestrant Versus Fulvestrant in Advanced or Metastatic Breast Cancer in Patients Resistant to Aromatase Inhibitor Therapy",adverse_reactions,NCT01437566,C2984520,GDC 0980,FDA,en,0
,Fulvestrant,0,SIMPLE_CHEMICAL,bionlp,"A Phase II, Double-Blind, Placebo Controlled, Randomized Study of GDC-0941 or GDC-0980 With Fulvestrant Versus Fulvestrant in Advanced or Metastatic Breast Cancer in Patients Resistant to Aromatase Inhibitor Therapy",adverse_reactions,NCT01437566,C0935916,fulvestrant,FDA,en,0
,Metastatic Breast Cancer,0,CANCER,bionlp,"A Phase II, Double-Blind, Placebo Controlled, Randomized Study of GDC-0941 or GDC-0980 With Fulvestrant Versus Fulvestrant in Advanced or Metastatic Breast Cancer in Patients Resistant to Aromatase Inhibitor Therapy",adverse_reactions,NCT01437566,C0278488,Carcinoma breast stage IV,FDA,en,0
,Patients,0,ORGANISM,bionlp,"A Phase II, Double-Blind, Placebo Controlled, Randomized Study of GDC-0941 or GDC-0980 With Fulvestrant Versus Fulvestrant in Advanced or Metastatic Breast Cancer in Patients Resistant to Aromatase Inhibitor Therapy",adverse_reactions,NCT01437566,C0030705,Patients,FDA,en,0
,Aromatase Inhibitor,0,GENE_OR_GENE_PRODUCT,bionlp,"A Phase II, Double-Blind, Placebo Controlled, Randomized Study of GDC-0941 or GDC-0980 With Fulvestrant Versus Fulvestrant in Advanced or Metastatic Breast Cancer in Patients Resistant to Aromatase Inhibitor Therapy",adverse_reactions,NCT01437566,C0593802,Aromatase Inhibitors,FDA,en,0
,Breast Cancer,0,DISEASE,jnlpba,"A Multicenter, Open-Label, Crossover Trial to Assess Non-Inferiority of Dual Energy Contrast-Enhanced Digital Mammography (DE-CEDM) Compared to Contrast-Enhanced Breast Magnetic Resonance Imaging (CE-BMRI) for Identifying a Change in Patient Management in Women With Newly Diagnosed Breast Cancer",warnings,NCT01303419,C0006142,Malignant neoplasm of breast,FDA,en,0
